"@ratkins,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201218:59:10+0000,https://twittercom/ratkins/status/270239745806848001"
"@NefkensICT,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201216:25:28+0000,https://twittercom/NefkensICT/status/270201065436233728"
"@casademora,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201216:23:54+0000,https://twittercom/casademora/status/270200668822835200"
"@iithron,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201214:14:06+0000,https://twittercom/iithron/status/270168003436490752"
"@christian_beer,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201211:33:13+0000,https://twittercom/christian_beer/status/270127517778726912"
"@skorebrits,RT@judykitteh:@pauldarcey:InterestinglookatthelifeofAppMakershttp://tco/hnJbPL2r#Appsterdam@createdbysteph,Sun,18Nov201211:19:48+0000,https://twittercom/skorebrits/status/270124142689386496"
"@appsterdamrs,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201210:51:37+0000,https://twittercom/appsterdamrs/status/270117049102135296"
"@appsterdam,RT@MrSpier:GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201210:51:36+0000,https://twittercom/appsterdam/status/270117044219965440"
"@appsterdam,RT@judykitteh:@pauldarcey:InterestinglookatthelifeofAppMakershttp://tco/hnJbPL2r#Appsterdam@createdbysteph,Sun,18Nov201210:51:04+0000,https://twittercom/appsterdam/status/270116908257390592"
"@appsterdamrs,RT@judykitteh:@pauldarcey:InterestinglookatthelifeofAppMakershttp://tco/hnJbPL2r#Appsterdam@createdbysteph,Sun,18Nov201210:51:00+0000,https://twittercom/appsterdamrs/status/270116893036257280"
"@melindajacobs,@sriranganTheresmeetupslikeOpenCoffeeAmsterdamorAppsterdamHackersandFoundersalsoCheckhttp://tco/PKb64rEwformoreinfo,Sun,18Nov201210:49:35+0000,https://twittercom/melindajacobs/status/270116535618650113"
"@judykitteh,@pauldarcey:InterestinglookatthelifeofAppMakershttp://tco/hnJbPL2r#Appsterdam@createdbysteph,Sun,18Nov201210:47:42+0000,https://twittercom/judykitteh/status/270116061091872768"
"@HesselvanTuinen,@appsterdamImaddictedto@undrip-coolnewsharingcommunityCheckithttp://tco/mM8xDLN6,Sun,18Nov201210:32:17+0000,https://twittercom/HesselvanTuinen/status/270112181943664640"
"@MrSpier,GoodProgramming,BadProgramminghttp://tco/XcwIKEvL#appsterdam,Sun,18Nov201208:58:21+0000,https://twittercom/MrSpier/status/270088542259126274"
"@tross6,RT@olmageddon:Code4EU|CallforFellowshttp://tco/5dQD2V8lApplytill25thNovember!//@katalinG@NurayG@hernanp@appsterdamrs@waag,Sun,18Nov201206:19:55+0000,https://twittercom/tross6/status/270048671817678849"
